,ID_REF,VALUE,COUNT
312,3502497,5.68935,52
313,2783099,5.54488,47
314,3991992,5.76967,55
315,3806711,6.92722,122
316,2343473,8.84621,460
317,3272686,6.01017,64
318,2623249,7.53648,186
319,3772279,5.47569,44
320,3576889,6.65419,101
321,3882190,5.06654,34
322,2587730,4.97136,31
323,3272706,5.33055,40
324,3722338,5.68072,51
325,2903034,5.1597,36
326,2902935,6.31863,80
327,2403446,5.37288,41
328,3942161,7.43619,173
329,3417146,4.87457,29
330,3332663,4.3365,20
331,3662387,9.42863,689
332,3882214,3.67988,13
333,4016639,5.9385,61
334,3832256,7.29488,157
335,2697652,5.92494,61
336,2952893,4.62406,25
337,2587747,6.43407,86
338,3442579,5.69435,52
339,3722355,9.51248,730
340,2343511,5.95401,62
341,2843091,7.19043,146
342,2757621,6.06109,67
343,3417161,10.227,1198
344,3636879,5.16472,36
345,3942179,7.94825,247
346,2733202,3.99898,16
347,2902958,8.05687,266
348,2403470,6.77078,109
349,2318086,7.53885,186
350,2817576,5.19313,37
351,3662417,5.2308,38
352,3272736,6.30674,79
353,3576937,6.08232,68
354,2427898,5.21475,37
355,3832280,4.41768,21
356,3992148,6.24142,76
357,3882241,5.59079,48
358,2952927,5.07189,34
359,3027503,6.78294,110
360,3746809,4.12624,17
361,3856720,4.80211,28
362,2927506,4.86493,29
363,2623308,6.53532,93
364,2673257,4.67472,26
365,3637006,7.18636,146
366,2903075,8.06746,268
367,3417184,6.56503,95
368,2367963,7.16042,143
369,3832292,5.65178,50
370,3722384,6.24877,76
371,3502570,9.5291,739
372,2843131,5.94108,61
373,2892979,6.16125,72
374,3357237,7.89828,239
375,2647742,7.46175,176
376,3417201,5.46037,44
377,3832308,4.53894,23
378,2427930,7.17388,144
379,2673270,10.0335,1048
380,3272761,4.97576,31
381,3662444,4.7816,28
382,2977471,5.14661,35
383,2587790,9.26762,616
384,3916686,4.01478,16
385,3882265,4.64994,25
386,3332729,4.78903,28
387,3003107,6.94916,124
388,3442641,4.5513,23
389,2893109,4.26367,19
390,2952959,5.0627,33
391,3722417,8.8439,459
392,2697721,4.19455,18
393,3027538,8.40666,339
394,3746845,5.61332,49
395,3577078,10.9615,1994
396,2783207,6.01131,65
397,3077502,5.79951,56
398,2843163,6.81028,112
399,2478017,8.03867,263
400,2977510,6.14793,71
401,3382698,6.33772,81
402,2673312,5.61302,49
403,2393538,5.41253,43
404,4016726,4.23349,19
405,2893130,6.96299,125
406,2318157,5.18973,36
407,3272795,5.97749,63
408,3882304,3.76817,14
409,3357279,8.54716,374
410,3636956,5.83787,57
411,3942259,3.8356,14
412,2477933,4.78195,28
413,2587841,8.73142,425
414,3502632,6.89088,119
415,2623367,4.82855,28
416,2647792,11.5828,3067
417,3417249,6.7684,109
418,2318170,5.87943,59
419,3003143,4.60088,24
420,2428079,6.02618,65
421,3357303,6.60369,97
422,2427981,6.22159,75
423,2538000,5.32952,40
424,2403557,6.50177,91
425,3746881,8.66115,405
426,2757720,5.77136,55
427,2513471,10.5092,1457
428,3003153,10.7129,1678
429,2733287,7.38667,167
430,2707764,10.791,1772
431,4042278,3.38061,10
432,2843209,8.41243,341
433,3272834,5.87439,59
434,2673345,5.36588,41
435,3636985,4.82933,28
436,2623388,7.12344,139
437,3442706,4.27751,19
438,3832383,8.23761,302
439,2927604,8.74138,428
440,3882343,4.67603,26
441,3772437,4.07298,17
442,2428119,6.66639,102
443,2403585,6.27266,77
444,2318212,4.65112,25
445,2623413,6.07941,68
446,2953139,6.19984,74
447,2817708,4.90644,30
448,2697792,8.47808,357
449,2757751,7.7564,216
450,3577160,9.56391,757
451,2477980,6.52811,92
452,3137530,7.89967,239
453,3662545,8.42022,343
454,3357346,5.04751,33
455,2903189,5.00777,32
456,3077573,4.96063,31
457,2623426,9.74549,858
458,3417309,10.9803,2020
459,3003193,7.00049,128
460,2368180,7.59058,193
461,3882369,4.73036,27
462,4016806,4.45407,22
463,2563481,8.42109,343
464,2817731,7.74251,214
465,2318242,5.31137,40
466,2623441,6.57892,96
467,2707824,7.62058,197
468,3332838,6.67927,102
469,3806905,7.39513,168
470,3502710,9.89532,952
471,3442752,3.93409,15
472,3832435,6.81033,112
473,2368198,6.21541,74
474,3992304,3.94936,15
475,3806913,7.68983,206
476,2783316,6.0844,68
477,3882387,4.05611,17
478,3113133,5.7579,54
479,3797015,6.24862,76
480,2733360,4.18016,18
481,2867693,7.97904,252
482,3942350,7.53054,185
483,3003228,10.1226,1115
484,3722535,6.49508,90
485,2318257,5.35307,41
486,2697839,4.98975,32
487,2513554,8.45755,352
488,2587937,5.2968,39
489,2977621,8.0742,270
490,3417345,5.14342,35
491,2757796,5.67062,51
492,3882413,4.31973,20
493,2843283,6.5009,91
494,3797032,8.61496,392
495,3442774,4.60644,24
496,3832457,5.7754,55
497,2393654,6.00916,64
498,3552684,4.23405,19
499,3382830,4.5477,23
500,3722554,6.61705,98
501,2647898,6.80787,112
502,3467315,4.99401,32
503,3417356,5.29394,39
504,3357397,5.15283,36
505,3442785,4.35559,20
506,2697863,5.80643,56
507,3662612,7.15431,142
508,2733392,3.91008,15
509,2903258,4.31125,20
510,2563536,3.82785,14
511,2587961,12.4204,5482
512,3856908,4.98043,32
513,3772525,7.63237,198
514,3942384,4.66057,25
515,3332886,8.12947,280
516,3417371,6.39294,84
517,2588066,11.584,3070
518,2707876,4.69661,26
519,3163136,9.4901,719
520,4042392,7.10003,137
521,3442812,4.28924,20
522,3053229,7.95031,247
523,3113180,10.6738,1634
524,3577246,9.43627,693
525,3992354,10.2462,1215
526,2817793,7.5593,189
527,3382861,10.1874,1166
528,3942411,3.81752,14
529,2623515,8.25574,306
530,3332913,5.38991,42
531,3552729,9.06279,535
532,2648041,4.75261,27
533,3577256,5.58365,48
534,2697902,5.16585,36
535,3113202,8.61576,392
536,3467351,10.0088,1030
537,2903285,6.49905,90
538,3187577,4.69221,26
539,2403707,5.56289,47
540,2927722,8.44779,349
541,2393711,7.70341,208
542,2707909,7.06095,134
543,3662650,8.93287,489
544,2318338,5.30433,40
545,3796992,4.6624,25
546,2953262,4.07034,17
547,3577277,6.95886,124
548,3332938,7.5035,181
549,2977690,7.92388,243
550,3272981,7.32684,161
551,3527332,3.811,14
552,2673503,5.88128,59
553,2817837,7.80487,224
554,3442854,10.404,1355
555,2867788,4.56933,24
556,2648074,4.51618,23
557,3527340,5.31271,40
558,2673509,8.1682,288
559,3772581,6.5786,96
560,2588127,10.0197,1038
561,3527342,4.79332,28
562,3992408,10.3712,1324
563,3417435,6.11017,69
564,2403740,7.93613,245
565,2393740,6.86146,116
566,3163200,5.05117,33
567,3527348,4.06808,17
568,2318364,5.58177,48
569,3297536,6.83313,114
570,3502829,6.76616,109
571,3662687,4.30894,20
572,3332964,5.64286,50
573,3223157,10.333,1290
574,2623568,6.34478,81
575,2903343,9.49399,721
576,3966891,6.47521,89
577,2648098,4.2556,19
578,3662696,9.98641,1014
579,2733483,4.56623,24
580,3942472,8.15678,285
581,3722656,5.3324,40
582,3687232,5.67852,51
583,3417457,11.4884,2873
584,3662710,5.66737,51
585,3053312,5.81912,56
586,3857105,9.62898,792
587,2708066,4.93135,31
588,4016955,4.21767,19
589,4017056,4.1964,18
590,3882533,7.61326,196
591,2867836,4.98782,32
592,2343823,9.76056,867
593,3967018,4.52311,23
594,3527377,4.67486,26
595,2673547,6.30135,79
596,3333086,5.51517,46
597,3383046,5.03395,33
598,3662723,8.67423,409
599,3382948,5.281,39
600,3916964,4.91458,30
601,2428313,6.36612,82
602,3747199,7.59219,193
603,3942502,4.71022,26
604,2318398,5.62508,49
605,3113280,6.15678,71
606,3966929,5.73732,53
607,3027808,8.28197,311
608,3722681,7.39528,168
609,3527390,4.69143,26
610,2623611,5.57295,48
611,2758043,8.17898,290
612,3917073,4.41369,21
613,2478269,10.3645,1318
614,2757944,4.85143,29
615,2563654,6.24032,76
616,3687260,9.8769,940
617,3417485,10.5437,1493
618,2318416,4.29434,20
619,2648141,9.06977,537
620,2783473,7.12192,139
621,3307580,4.68518,26
622,3417500,5.19115,37
623,2403793,7.66636,203
624,3077766,6.22189,75
625,3333116,7.70497,209
626,3722700,6.13047,70
627,3003384,3.98228,16
628,3577360,4.51232,23
629,3992467,4.02867,16
630,3382972,6.73068,106
631,2903401,8.94509,493
632,2783484,6.11873,69
633,2893392,4.86194,29
634,3832616,10.6446,1601
635,3662750,7.22464,150
636,3527418,6.99362,127
637,3187686,7.97269,251
638,3772661,11.2491,2434
639,3747236,6.76325,109
640,3687277,9.14221,565
641,2393816,6.56891,95
642,2867873,9.69473,829
643,3552847,10.487,1435
644,3383081,6.14676,71
645,3942531,7.54837,187
646,3442941,4.85049,29
647,2783493,4.28649,20
648,2758076,6.21373,74
649,2818035,6.73485,107
650,2673594,6.70201,104
651,3417531,7.41241,170
652,2817941,9.6501,803
653,3687308,8.5217,368
654,3662774,5.34739,41
655,2318455,9.48695,718
656,3832643,10.3151,1274
657,3053380,7.80432,224
658,3992512,4.24943,19
659,3857171,7.39018,168
660,3297632,4.85233,29
661,3722739,8.85163,462
662,2453793,5.15191,36
663,2903435,5.40126,42
664,2623662,6.45541,88
665,3992521,6.52819,92
666,2513758,4.18287,18
667,3882614,5.93637,61
668,2843485,5.71611,53
669,3113352,4.79018,28
670,3637367,6.23008,75
671,3333169,7.37352,166
